"opt_k","trial","cde","sujeto","sesion","phase","cum_trial"
4,1,2,"M326",37,"training",4
3,1,1,"M326",37,"training",4
3,1,1,"M326",37,"training",5
4,1,2,"M327",37,"training",5
4,1,2,"M327",37,"training",6
3,1,1,"M327",37,"training",6
4,1,1,"M327",37,"training",7
1,1,2,"M328",37,"training",6
1,1,2,"M328",37,"training",7
4,1,1,"M328",37,"training",6
4,1,1,"M328",37,"training",7
4,1,1,"M328",37,"training",8
1,1,2,"M330",37,"training",3
3,1,2,"M330",37,"training",4
3,1,1,"M330",37,"training",3
3,1,1,"M330",37,"training",4
4,1,2,"M331",37,"training",3
4,1,2,"M331",37,"training",4
1,1,1,"M331",37,"training",3
1,1,1,"M331",37,"training",4
4,1,2,"M332",37,"training",5
4,1,2,"M332",37,"training",6
4,1,2,"M332",37,"training",7
4,1,1,"M332",37,"training",4
3,1,1,"M332",37,"training",5
4,1,2,"M333",37,"training",6
3,1,2,"M333",37,"training",7
3,1,1,"M333",37,"training",5
3,1,1,"M333",37,"training",6
3,1,2,"M326",36,"training",5
2,1,1,"M326",36,"training",6
4,1,2,"M327",36,"training",7
1,1,2,"M327",36,"training",8
4,1,1,"M327",36,"training",8
1,1,1,"M327",36,"training",9
1,1,2,"M328",36,"training",8
3,1,2,"M328",36,"training",9
4,1,1,"M328",36,"training",9
4,1,1,"M328",36,"training",10
3,1,2,"M329",36,"training",3
3,1,2,"M329",36,"training",4
3,1,2,"M329",36,"training",5
3,1,1,"M329",36,"training",2
3,1,1,"M329",36,"training",3
1,1,2,"M330",36,"training",5
3,1,2,"M330",36,"training",6
4,1,1,"M330",36,"training",5
3,1,1,"M330",36,"training",6
4,1,2,"M331",36,"training",5
4,1,2,"M331",36,"training",6
3,1,1,"M331",36,"training",5
1,1,1,"M331",36,"training",6
4,1,2,"M332",36,"training",8
4,1,1,"M332",36,"training",6
3,1,2,"M333",36,"training",8
1,1,2,"M333",36,"training",9
1,1,1,"M333",36,"training",7
4,1,2,"M326",35,"training",6
4,1,2,"M326",35,"training",7
4,1,2,"M326",35,"training",8
4,1,1,"M326",35,"training",7
3,1,1,"M326",35,"training",8
3,1,1,"M326",35,"training",9
1,1,2,"M327",35,"training",9
4,1,2,"M327",35,"training",10
4,1,1,"M327",35,"training",10
4,1,1,"M327",35,"training",11
1,1,2,"M328",35,"training",10
1,1,2,"M328",35,"training",11
4,1,1,"M328",35,"training",11
4,1,1,"M328",35,"training",12
4,1,1,"M328",35,"training",13
4,1,2,"M329",35,"training",6
1,1,2,"M329",35,"training",7
2,1,1,"M329",35,"training",4
3,1,1,"M329",35,"training",5
1,1,2,"M330",35,"training",7
1,1,1,"M330",35,"training",7
4,1,2,"M331",35,"training",7
4,1,2,"M331",35,"training",8
4,1,2,"M331",35,"training",9
4,1,1,"M331",35,"training",7
1,1,1,"M331",35,"training",8
3,1,2,"M332",35,"training",9
3,1,2,"M332",35,"training",10
4,1,2,"M332",35,"training",11
3,1,1,"M332",35,"training",7
3,1,1,"M332",35,"training",8
1,1,2,"M333",35,"training",10
4,1,2,"M333",35,"training",11
3,1,2,"M333",35,"training",12
4,1,1,"M333",35,"training",8
3,1,1,"M333",35,"training",9
