"Delay","Immediate","phase"
61.2,61.4,"Baseline"
61.2,61.5,"Baseline"
61.2999999999997,61.5999999999999,"Baseline"
61.3000000000001,61.6,"Baseline"
61.3000000000002,61.6000000000001,"Baseline"
61.3999999999999,61.6000000000004,"Baseline"
61.4,61.6000000000004,"Baseline"
61.5,61.6999999999998,"Baseline"
61.5,61.6999999999998,"Baseline"
61.5,61.6999999999998,"Baseline"
61.5,61.6999999999999,"Baseline"
61.5,61.8,"Baseline"
61.5,61.8,"Baseline"
61.6,61.8000000000002,"Baseline"
61.6000000000004,61.8999999999999,"Baseline"
61.6999999999999,61.9,"Baseline"
61.7,61.9,"Baseline"
61.7000000000003,61.9000000000001,"Baseline"
61.7999999999997,61.9000000000001,"Baseline"
61.8,62,"Baseline"
61.8,62.0999999999999,"Baseline"
61.8000000000002,62.1,"Baseline"
61.8000000000002,62.1,"Baseline"
61.9000000000001,62.3,"Baseline"
62,62.3000000000002,"Baseline"
62,62.5,"Baseline"
62,62.6,"Baseline"
62,62.8,"Baseline"
62,62.9,"Baseline"
62.0999999999999,62.9000000000001,"Baseline"
62.1,63.0999999999999,"Baseline"
62.2,63.1999999999998,"Baseline"
62.2,63.1999999999998,"Baseline"
62.3000000000001,63.3,"Baseline"
62.4,63.3,"Baseline"
62.4000000000001,63.4000000000001,"Baseline"
62.5,63.5,"Baseline"
62.5,63.6,"Baseline"
62.5999999999999,63.7,"Baseline"
62.5999999999999,63.9,"Baseline"
62.6,63.9,"Baseline"
62.9,64.2,"Baseline"
62.9,64.2,"Baseline"
63.0999999999999,64.2000000000003,"Baseline"
63.1,64.5,"Baseline"
63.7,64.5,"Baseline"
63.7,64.6999999999999,"Baseline"
63.8,64.7,"Baseline"
63.8000000000002,64.7000000000003,"Baseline"
63.9,65.0999999999999,"Baseline"
64.0999999999999,65.1,"Baseline"
64.5,65.3999999999996,"Baseline"
64.9000000000001,65.5,"Baseline"
65.7000000000003,65.5999999999999,"Baseline"
66.1,65.8,"Baseline"
66.3000000000001,66.7999999999997,"Baseline"
67,67.8,"Baseline"
67,68.0999999999999,"Baseline"
67.3000000000002,68.4,"Baseline"
67.4,69.1,"Baseline"
67.4,69.4000000000001,"Baseline"
67.5,69.4000000000001,"Baseline"
69.2,69.9999999999995,"Baseline"
70.9000000000001,70.8000000000001,"Baseline"
73.1,71.5,"Baseline"
74.5,72.1999999999998,"Baseline"
76.7,72.3000000000002,"Baseline"
77.3999999999999,73.1999999999998,"Baseline"
77.4,73.3000000000002,"Baseline"
77.5,73.5999999999999,"Baseline"
78.5,73.7,"Baseline"
78.6000000000004,76,"Baseline"
79.8,79.3000000000002,"Baseline"
84.4000000000001,83.2,"Baseline"
88.0999999999999,86.9,"Baseline"
60.1000000000004,60.7,"Experimental"
60.1999999999998,61.5,"Experimental"
60.2,61.5,"Experimental"
60.2,61.6,"Experimental"
60.2,61.7,"Experimental"
60.2,61.9999999999998,"Experimental"
60.2999999999997,62.3,"Experimental"
60.4,62.3,"Experimental"
60.4000000000001,62.3000000000002,"Experimental"
60.4000000000001,62.5,"Experimental"
60.5,62.5999999999999,"Experimental"
60.5,62.7000000000003,"Experimental"
60.5,62.8,"Experimental"
60.5,62.8,"Experimental"
60.5,62.8000000000002,"Experimental"
60.5,62.9,"Experimental"
60.7,63,"Experimental"
60.7,63,"Experimental"
60.7000000000003,63.0999999999999,"Experimental"
60.7999999999997,63.1000000000001,"Experimental"
60.8,63.2,"Experimental"
60.8999999999996,63.2,"Experimental"
60.8999999999999,63.2,"Experimental"
60.9,63.3999999999999,"Experimental"
60.9000000000001,63.6,"Experimental"
61,63.6,"Experimental"
61.0999999999999,63.7000000000003,"Experimental"
61.0999999999999,63.8000000000002,"Experimental"
61.1000000000004,63.8999999999999,"Experimental"
61.1999999999998,63.9000000000001,"Experimental"
61.2,64,"Experimental"
61.2000000000003,64.0999999999999,"Experimental"
61.2999999999997,64.1,"Experimental"
61.2999999999997,64.2,"Experimental"
61.3000000000002,64.4,"Experimental"
61.4,64.4000000000001,"Experimental"
61.5,64.5,"Experimental"
61.5,64.5,"Experimental"
61.6,64.5999999999999,"Experimental"
61.6,64.5999999999999,"Experimental"
